,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
10,"[1.0, 0.7337993857053428, 1.0, 0.7035264706814485, 0.502518907629606]",0.7879689528032794,0.19050508288589135,0.08519646307841697,"{'penalty': None, 'C': 0.3658337094927918, 'solver': 'newton-cg', 'max_iter': 104, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.85, 1.0, 0.8500000000000001, 0.75]","[1.0, 0.85, 1.0, 0.85, 0.75]","[1.0, 0.85, 1.0, 0.8500000000000001, 0.75]","[1.0, 1.0, 1.0, 0.8, 0.8]","[1.0, 0.7692307692307693, 1.0, 0.8888888888888888, 0.7272727272727273]","[1.0, 0.8695652173913043, 1.0, 0.8421052631578947, 0.7619047619047619]","[1.0, 0.7337993857053428, 1.0, 0.7035264706814485, 0.502518907629606]"
11,"[0.8, 0.7035264706814485, 0.816496580927726, 0.816496580927726, 0.6123724356957946]",0.7497784136465391,0.08055368449825931,0.03602470287523577,"{'penalty': None, 'C': 0.3658337094927918, 'solver': 'newton-cg', 'max_iter': 104, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9, 0.8500000000000001, 0.9, 0.9, 0.7999999999999999]","[0.9, 0.85, 0.9, 0.9, 0.8]","[0.9, 0.8500000000000001, 0.9, 0.9, 0.8]","[0.9, 0.8, 1.0, 0.8, 0.9]","[0.9, 0.8888888888888888, 0.8333333333333334, 1.0, 0.75]","[0.9, 0.8421052631578947, 0.9090909090909091, 0.8888888888888888, 0.8181818181818182]","[0.8, 0.7035264706814485, 0.816496580927726, 0.816496580927726, 0.6123724356957946]"
12,"[0.9045340337332909, 0.9045340337332909, 0.9045340337332909, 0.8, 0.7035264706814485]",0.8434257143762643,0.08082112488624667,0.0361443058527295,"{'penalty': None, 'C': 0.3658337094927918, 'solver': 'newton-cg', 'max_iter': 104, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9500000000000001, 0.9500000000000001, 0.95, 0.9, 0.8500000000000001]","[0.95, 0.95, 0.95, 0.9, 0.85]","[0.95, 0.95, 0.95, 0.9, 0.8500000000000001]","[1.0, 1.0, 0.9, 0.9, 0.8]","[0.9090909090909091, 0.9090909090909091, 1.0, 0.9, 0.8888888888888888]","[0.9523809523809523, 0.9523809523809523, 0.9473684210526315, 0.9, 0.8421052631578947]","[0.9045340337332909, 0.9045340337332909, 0.9045340337332909, 0.8, 0.7035264706814485]"
13,"[0.9045340337332909, 1.0, 0.8, 0.7035264706814485, 0.9045340337332909]",0.862518907629606,0.10160590654119174,0.04543954278831905,"{'penalty': None, 'C': 0.3658337094927918, 'solver': 'newton-cg', 'max_iter': 104, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.95, 1.0, 0.9, 0.8500000000000001, 0.95]","[0.95, 1.0, 0.9, 0.85, 0.95]","[0.95, 1.0, 0.9, 0.8500000000000001, 0.95]","[0.9, 1.0, 0.9, 0.8, 0.9]","[1.0, 1.0, 0.9, 0.8888888888888888, 1.0]","[0.9473684210526315, 1.0, 0.9, 0.8421052631578947, 0.9473684210526315]","[0.9045340337332909, 1.0, 0.8, 0.7035264706814485, 0.9045340337332909]"
14,"[0.816496580927726, 0.6, 0.816496580927726, 0.7035264706814485, 1.0]",0.7873039265073801,0.13345071360853597,0.05968097345490853,"{'penalty': None, 'C': 0.3658337094927918, 'solver': 'newton-cg', 'max_iter': 104, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9, 0.8, 0.9, 0.8500000000000001, 1.0]","[0.9, 0.8, 0.9, 0.85, 1.0]","[0.9, 0.8, 0.9, 0.8500000000000001, 1.0]","[0.8, 0.8, 1.0, 0.8, 1.0]","[1.0, 0.8, 0.8333333333333334, 0.8888888888888888, 1.0]","[0.8888888888888888, 0.8, 0.9090909090909091, 0.8421052631578947, 1.0]","[0.816496580927726, 0.6, 0.816496580927726, 0.7035264706814485, 1.0]"
15,"[0.7337993857053428, 0.6123724356957946, 0.9045340337332909, 0.7035264706814485, 0.816496580927726]",0.7541457813487206,0.09957933583746903,0.044533232817372335,"{'penalty': None, 'C': 0.3658337094927918, 'solver': 'newton-cg', 'max_iter': 104, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.85, 0.7999999999999999, 0.95, 0.8500000000000001, 0.9]","[0.85, 0.8, 0.95, 0.85, 0.9]","[0.85, 0.8, 0.95, 0.8500000000000001, 0.9]","[1.0, 0.9, 0.9, 0.8, 0.8]","[0.7692307692307693, 0.75, 1.0, 0.8888888888888888, 1.0]","[0.8695652173913043, 0.8181818181818182, 0.9473684210526315, 0.8421052631578947, 0.8888888888888888]","[0.7337993857053428, 0.6123724356957946, 0.9045340337332909, 0.7035264706814485, 0.816496580927726]"
16,"[0.7035264706814485, 0.6, 1.0, 0.7337993857053428, 0.9045340337332909]",0.7883719780240164,0.14418111729720393,0.06447975586968374,"{'penalty': None, 'C': 0.3658337094927918, 'solver': 'newton-cg', 'max_iter': 104, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.85, 0.8, 1.0, 0.85, 0.9500000000000001]","[0.85, 0.8, 1.0, 0.85, 0.95]","[0.8500000000000001, 0.8, 1.0, 0.85, 0.95]","[0.9, 0.8, 1.0, 0.7, 1.0]","[0.8181818181818182, 0.8, 1.0, 1.0, 0.9090909090909091]","[0.8571428571428571, 0.8, 1.0, 0.8235294117647058, 0.9523809523809523]","[0.7035264706814485, 0.6, 1.0, 0.7337993857053428, 0.9045340337332909]"
17,"[0.9045340337332909, 0.9045340337332909, 0.8, 1.0, 0.4364357804719848]",0.8091007695877133,0.1967839170779346,0.0880044430929887,"{'penalty': None, 'C': 0.3658337094927918, 'solver': 'newton-cg', 'max_iter': 104, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.95, 0.9500000000000001, 0.9, 1.0, 0.7]","[0.95, 0.95, 0.9, 1.0, 0.7]","[0.95, 0.95, 0.9, 1.0, 0.7]","[0.9, 1.0, 0.9, 1.0, 0.9]","[1.0, 0.9090909090909091, 0.9, 1.0, 0.6428571428571429]","[0.9473684210526315, 0.9523809523809523, 0.9, 1.0, 0.75]","[0.9045340337332909, 0.9045340337332909, 0.8, 1.0, 0.4364357804719848]"
18,"[0.502518907629606, 1.0, 0.8, 0.9045340337332909, 0.8]",0.8014105882725794,0.16698048732116094,0.07467594411323152,"{'penalty': None, 'C': 0.3658337094927918, 'solver': 'newton-cg', 'max_iter': 104, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.75, 1.0, 0.9, 0.95, 0.9]","[0.75, 1.0, 0.9, 0.95, 0.9]","[0.75, 1.0, 0.9, 0.95, 0.9]","[0.7, 1.0, 0.9, 0.9, 0.9]","[0.7777777777777778, 1.0, 0.9, 1.0, 0.9]","[0.7368421052631579, 1.0, 0.9, 0.9473684210526315, 0.9]","[0.502518907629606, 1.0, 0.8, 0.9045340337332909, 0.8]"
19,"[0.8, 0.8, 0.7035264706814485, 0.816496580927726, 0.9045340337332909]",0.804911417068493,0.06385300801361171,0.02855593329725492,"{'penalty': None, 'C': 0.3658337094927918, 'solver': 'newton-cg', 'max_iter': 104, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9, 0.9, 0.85, 0.9, 0.9500000000000001]","[0.9, 0.9, 0.85, 0.9, 0.95]","[0.9, 0.9, 0.8500000000000001, 0.9, 0.95]","[0.9, 0.9, 0.9, 0.8, 1.0]","[0.9, 0.9, 0.8181818181818182, 1.0, 0.9090909090909091]","[0.9, 0.9, 0.8571428571428571, 0.8888888888888888, 0.9523809523809523]","[0.8, 0.8, 0.7035264706814485, 0.816496580927726, 0.9045340337332909]"
